x,y,name,color
0.001814933717169436,-0.011505193308398007,Ocean's Twelve,0
0.0020645444845906608,-0.005294489055319667,Contact,0
0.0030598764163934622,-0.01262636930201132,Pearl Harbor,0
0.004883068530559948,-0.02070607932195802,The Painted Veil,0
0.00317799629613099,-0.009774074488399119,Mamma Mia!,0
0.004151255416438582,-0.021660737678847703,Days of Being Wild,0
0.0031580539584360376,-0.015663754743146775,The Guard,0
0.0035009803304647483,-0.02462002729073024,The Nightmare Before Christmas,0
0.002520323046528499,-0.0173470973213259,Gate Keepers 21,0
0.0027612852821625594,-0.01831352941391351,Evangelion: 2.0 You Can (Not) Advance,0
0.0037500076662510115,-0.023874413484342143,Prince of Persia: The Sands of Time,0
0.0008999025656595017,-0.012449758814372398,Brian Drummond,0
0.0035261711992594434,-0.002605131182455607,"Paris, je t'aime",0
0.00247730710415871,-0.009473728098614858,Alexander,0
0.00371817079254099,-0.018299508892754647,Live and Let Die,0
0.003699713631298258,-0.019807848186715223,The Golden Compass,0
0.0016580757118356668,-0.01339180544448541,Reversal of Fortune,0
0.002630021606175661,-0.018109734668331625,Never Say Never Again,0
0.004085437399475275,-0.015627824017035767,The Pianist,0
0.0034561995669593806,-0.027340637547340306,Percy Jackson & the Olympians: The Lightning Thief,0
0.004938515318571081,-0.01839549956372865,"Crouching Tiger, Hidden Dragon",0
0.0026871926388396432,-0.01800876317815264,The Prince of Egypt,0
0.004598185546818611,-0.01892755126874179,From Russia with Love,0
0.004564034073649115,-0.016842311016611305,"Good Night, and Good Luck",0
0.004201744668280534,-0.014680037810683054,Salmon Fishing in the Yemen,0
0.005780454180415936,-0.01131834320783147,Training Day,0
0.0021349555703326552,-0.009725069675609415,Click,0
0.003707813635540621,-0.022185846931471954,The Kids Are All Right,0
0.0025827089289909926,-0.013276725915696952,Pineapple Express,0
0.0029819946602688773,-0.02227282368462498,The Hangover Part II,0
0.0022035246178633942,-0.014574737174667987,Lords of Dogtown,0
0.0021165863163865022,-0.013645849110758664,Frankenweenie,0
0.0009879598527328805,-0.00905359865211742,MASH,0
0.0019093219224700685,-0.012924373778745675,Seabiscuit,0
0.002639342061693219,-0.019939477284071687,I Now Pronounce You Chuck and Larry,0
0.0030821918910833006,-0.013119100577623275,Taxi Driver,0
0.004534132038016009,-0.01526536258623367,The Maltese Falcon,0
0.004015298769039016,-0.022488436117691017,For Your Eyes Only,0
0.0016526482221870067,-0.014197783811073875,Godzilla,0
0.0012417256066800844,-0.012792997567182397,David Henrie,0
0.004364040278590343,-0.009878102827193973,Submarine,0
0.003188091394885773,-0.0169979540557221,Terminator Salvation,0
0.004536671392792505,-0.022754557399390984,The World Is Not Enough,0
0.0013011391488913047,-0.01597158614321796,Blade II,0
0.003504991127033752,-0.021731460551429816,The Sand Pebbles,0
0.001525714735097445,-0.012966058319114687,Michael Cera,0
0.0020321531882235705,-0.010707853340944583,Victor Victoria,0
0.0029540503942764636,-0.013792322627866963,X-Men: First Class,0
0.0036552915755993167,-0.018265863359146213,The Talented Mr. Ripley,0
0.004150246363132197,-0.01755017422251266,House of Sand and Fog,0
0.003621659491934399,-0.015152261926968674,Children of Men,0
0.004471035220819483,-0.015991992826290196,Mission: Impossible III,0
0.001503535095712567,-0.011931812882362076,RoboCop,0
0.004219828886690514,-0.018831693017259996,The Exorcist,0
0.0024528637845556106,-0.014555694752809361,Quantum of Solace,0
0.004467028804224242,-0.015430591250401153,The Orphanage,0
0.0008932411507862091,-0.014434485259102684,Bob Roberts,0
0.0029250573424199297,-0.020045739198752122,Evil Angels,0
0.004981209419581703,-0.021518977228336726,The Dreamers,0
0.0022176708568438586,-0.01733317497342167,Black Swan,0
0.003855461215819417,-0.019770116474869495,Back to the Future,0
0.0033406266303339428,-0.02325499383791647,Stop! Or My Mom Will Shoot,0
0.0030301156105073603,-0.01552920206433705,Lilo & Stitch,0
0.004685799775935741,-0.021228693672589203,The Guns of Navarone,0
0.004219828886690514,-0.018831693017259996,The Exorcist,0
0.0011830627389501965,-0.010136030778892871,Ironclad,0
0.0025173967191698568,-0.021157073397144708,All the President's Men,0
0.004178117049897851,-0.02121491924990446,Around the World in 80 Days,0
0.0036664130186515598,-0.016985413977191836,MegaMan NT Warrior,0
0.005238285749926225,-0.007160562459021547,Broadcast News,0
0.003169576249948984,-0.014567338482785625,"I, Robot",0
0.003621659491934399,-0.015152261926968674,Children of Men,0
0.004211567910291844,-0.011743325431582241,Fanny and Alexander,0
