iter,loss
0,0.9938003220758238
1,0.37469357919026086
2,0.25784539148246216
3,0.18631243608492515
4,0.1405280046946519
5,0.11170274668779129
6,0.09353873489689438
7,0.08194097860918179
8,0.07414201730406368
9,0.06869757192812877
10,0.06468429383420166
11,0.061570302737412194
12,0.05902529687627212
13,0.056875099330306884
14,0.05499785257143018
15,0.05333983981525981
16,0.0518347943996216
17,0.05046969791982835
18,0.04920187557771767
19,0.04804183606987511
20,0.04696959728648613
21,0.04595190002680658
22,0.04500455750990442
23,0.04410434527309624
24,0.04325893509151774
25,0.042448769707779783
26,0.041683621661160096
27,0.04095343588949083
28,0.04022963985904947
29,0.039577839839639084
30,0.038907145894629694
31,0.03826235463117664
32,0.037649542779286144
33,0.03705222594675484
34,0.03647358732033165
35,0.03588894058218647
36,0.03533452162236878
37,0.03477514786146459
38,0.034225259167261615
39,0.03367826726400491
40,0.03313060288072188
41,0.03259513830214669
42,0.03205680461179265
43,0.03154365331941829
44,0.030991580102827165
45,0.03045302223943886
46,0.029922541200524167
47,0.029377699697212184
48,0.02884207963769808
49,0.02830534447896314
